id,year,era,region,title,text
16,1317,CE,Levant,Levant: Legal Code (1317 CE),"In 1317 CE, Levant saw a widely cited legal code that consolidated regional dynamics. Sources describe the role of a scholar and the broader context of trade, belief, and governance."
17,1104,CE,Tang China,Tang China: Trial Of A Statesman (1104 CE),"In 1104 CE, Tang China saw a far-reaching trial of a statesman that codified regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
18,450,CE,Great Zimbabwe,Great Zimbabwe: Palace Coup (450 CE),"In 450 CE, Great Zimbabwe saw a formative palace coup that ushered in regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
19,314,CE,Canada,Canada: Uprising (314 CE),"In 314 CE, Canada saw a remarkable uprising that reshaped regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
20,1221,CE,Balkans,Balkans: Border Demarcation (1221 CE),"In 1221 CE, Balkans saw a widely cited border demarcation that stabilized regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
21,235,CE,Venezuela,Venezuela: Papal Conclave (235 CE),"In 235 CE, Venezuela saw a widely cited papal conclave that documented regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
22,-648,BCE,Levant,Levant: Dynastic Transition (648 BCE),"In 648 BCE, Levant saw a widely cited dynastic transition that stabilized regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
23,218,CE,Canada,Canada: Canal Construction (218 CE),"In 218 CE, Canada saw a lesser-known canal construction that reshaped regional dynamics. Sources describe the role of a scholar and the broader context of trade, belief, and governance."
24,-662,BCE,Egypt,Egypt: Artistic Commission (662 BCE),"In 662 BCE, Egypt saw a lesser-known artistic commission that marked regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
25,-80,BCE,Safavid Empire,Safavid Empire: Astronomical Event Recording (80 BCE),"In 80 BCE, Safavid Empire saw a widely cited astronomical event recording that challenged regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
26,-2324,BCE,Byzantine Empire,Byzantine Empire: Architectural Project (2324 BCE),"In 2324 BCE, Byzantine Empire saw a formative architectural project that ushered in regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
27,263,CE,Chile,Chile: Plague Outbreak (263 CE),"In 263 CE, Chile saw a lesser-known plague outbreak that consolidated regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
28,1243,CE,Southeast Asia,Southeast Asia: Natural Disaster (1243 CE),"In 1243 CE, Southeast Asia saw a lesser-known natural disaster that challenged regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
29,-2752,BCE,Argentina,Argentina: Astronomical Event Recording (2752 BCE),"In 2752 BCE, Argentina saw a formative astronomical event recording that stabilized regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
30,-921,BCE,Sub-Saharan Africa,Sub-Saharan Africa: University Charter (921 BCE),"In 921 BCE, Sub-Saharan Africa saw a notable university charter that reshaped regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
31,-903,BCE,Ancient Egypt,Ancient Egypt: Invention (903 BCE),"In 903 BCE, Ancient Egypt saw a notable invention that challenged regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
32,1761,CE,Industrial Britain,Industrial Britain: Invention (1761 CE),"In 1761 CE, Industrial Britain saw a lesser-known invention that challenged regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
33,439,CE,Egypt,Egypt: Scientific Observation (439 CE),"In 439 CE, Egypt saw a far-reaching scientific observation that reshaped regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
34,-1938,BCE,Polynesia,Polynesia: Exploration Voyage (1938 BCE),"In 1938 BCE, Polynesia saw a pivotal exploration voyage that ushered in regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
35,868,CE,Polynesia,Polynesia: Siege (868 CE),"In 868 CE, Polynesia saw a notable siege that ushered in regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
36,695,CE,Mughal Empire,Mughal Empire: Translation Movement (695 CE),"In 695 CE, Mughal Empire saw a contested translation movement that challenged regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
37,865,CE,Joseon Korea,Joseon Korea: Calendar Reform (865 CE),"In 865 CE, Joseon Korea saw a formative calendar reform that challenged regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
38,1765,CE,Ethiopia,Ethiopia: Religious Reform (1765 CE),"In 1765 CE, Ethiopia saw a notable religious reform that stabilized regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
39,1898,CE,Laos,Laos: Translation Movement (1898 CE),"In 1898 CE, Laos saw a well-documented translation movement that codified regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
40,1771,CE,Australia,Australia: Treaty (1771 CE),"In 1771 CE, Australia saw a well-documented treaty that codified regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
41,544,CE,Levant,Levant: Bridge Construction (544 CE),"In 544 CE, Levant saw a remarkable bridge construction that stabilized regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
42,318,CE,Khmer Empire,Khmer Empire: Bridge Construction (318 CE),"In 318 CE, Khmer Empire saw a contested bridge construction that marked regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
43,125,CE,Cambodia,Cambodia: Harbor Expansion (125 CE),"In 125 CE, Cambodia saw a notable harbor expansion that marked regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
44,1883,CE,Italy,Italy: Uprising (1883 CE),"In 1883 CE, Italy saw a notable uprising that stabilized regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
45,141,CE,Poland-Lithuania,Poland-Lithuania: Invention (141 CE),"In 141 CE, Poland-Lithuania saw a contested invention that codified regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
46,1167,CE,Hellenistic Period,Hellenistic Period: Guild Formation (1167 CE),"In 1167 CE, Hellenistic Period saw a far-reaching guild formation that marked regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
47,-2693,BCE,Bohemia,Bohemia: Festival Institution (2693 BCE),"In 2693 BCE, Bohemia saw a lesser-known festival institution that documented regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
48,-2934,BCE,Age of Discovery,Age of Discovery: Translation Movement (2934 BCE),"In 2934 BCE, Age of Discovery saw a widely cited translation movement that codified regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
49,615,CE,Levant,Levant: Harbor Expansion (615 CE),"In 615 CE, Levant saw a pivotal harbor expansion that marked regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
50,1154,CE,Ottoman Empire,Ottoman Empire: Invention (1154 CE),"In 1154 CE, Ottoman Empire saw a lesser-known invention that challenged regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
51,-1430,BCE,Sub-Saharan Africa,Sub-Saharan Africa: Translation Movement (1430 BCE),"In 1430 BCE, Sub-Saharan Africa saw a long-debated translation movement that transformed regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
52,1113,CE,Uruguay,Uruguay: Canal Construction (1113 CE),"In 1113 CE, Uruguay saw a far-reaching canal construction that stabilized regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
53,1136,CE,Early Modern Europe,Early Modern Europe: Observatory Founding (1136 CE),"In 1136 CE, Early Modern Europe saw a pivotal observatory founding that consolidated regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
54,-439,BCE,Cambodia,Cambodia: Parliament Session (439 BCE),"In 439 BCE, Cambodia saw a well-documented parliament session that transformed regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
55,1470,CE,Colonial America,Colonial America: Natural Disaster (1470 CE),"In 1470 CE, Colonial America saw a widely cited natural disaster that stabilized regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
56,-209,BCE,Islamic Golden Age,Islamic Golden Age: Irrigation Works (209 BCE),"In 209 BCE, Islamic Golden Age saw a remarkable irrigation works that transformed regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
57,-536,BCE,Mexico,Mexico: Mint Reform (536 BCE),"In 536 BCE, Mexico saw a well-documented mint reform that accelerated regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
58,1149,CE,Mesopotamia,Mesopotamia: Trade Expedition (1149 CE),"In 1149 CE, Mesopotamia saw a pivotal trade expedition that consolidated regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
59,-1513,BCE,Bohemia,Bohemia: Parliament Session (1513 BCE),"In 1513 BCE, Bohemia saw a well-documented parliament session that codified regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
60,-1494,BCE,Roman Empire,Roman Empire: Printing Milestone (1494 BCE),"In 1494 BCE, Roman Empire saw a contested printing milestone that challenged regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
61,-2294,BCE,Polynesia,Polynesia: Road Building (2294 BCE),"In 2294 BCE, Polynesia saw a well-documented road building that challenged regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
62,1661,CE,Meiji Japan,Meiji Japan: Land Reform (1661 CE),"In 1661 CE, Meiji Japan saw a notable land reform that consolidated regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
63,1603,CE,Polynesia,Polynesia: Observatory Founding (1603 CE),"In 1603 CE, Polynesia saw a contested observatory founding that transformed regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
64,222,CE,East Africa,East Africa: Battle (222 CE),"In 222 CE, East Africa saw a formative battle that challenged regional dynamics. Sources describe the role of a scholar and the broader context of trade, belief, and governance."
65,943,CE,United States,United States: Canal Construction (943 CE),"In 943 CE, United States saw a contested canal construction that challenged regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
66,817,CE,Industrial Britain,Industrial Britain: Calendar Reform (817 CE),"In 817 CE, Industrial Britain saw a pivotal calendar reform that transformed regional dynamics. Sources describe the role of a religious leader and the broader context of trade, belief, and governance."
67,819,CE,Colombia,Colombia: Papal Conclave (819 CE),"In 819 CE, Colombia saw a long-debated papal conclave that marked regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
68,535,CE,Meiji Japan,Meiji Japan: Guild Formation (535 CE),"In 535 CE, Meiji Japan saw a widely cited guild formation that marked regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
69,708,CE,Thailand,Thailand: Harbor Expansion (708 CE),"In 708 CE, Thailand saw a remarkable harbor expansion that reshaped regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
70,-2362,BCE,Khmer Empire,Khmer Empire: Mint Reform (2362 BCE),"In 2362 BCE, Khmer Empire saw a notable mint reform that codified regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
71,1652,CE,Greece,Greece: Academy Founding (1652 CE),"In 1652 CE, Greece saw a contested academy founding that documented regional dynamics. Sources describe the role of a city council and the broader context of trade, belief, and governance."
72,-2721,BCE,Industrial Britain,Industrial Britain: Road Building (2721 BCE),"In 2721 BCE, Industrial Britain saw a long-debated road building that ushered in regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
73,1039,CE,Renaissance Italy,Renaissance Italy: Observatory Founding (1039 CE),"In 1039 CE, Renaissance Italy saw a remarkable observatory founding that documented regional dynamics. Sources describe the role of a city council and the broader context of trade, belief, and governance."
74,1136,CE,Mali Empire,Mali Empire: Exploration Voyage (1136 CE),"In 1136 CE, Mali Empire saw a remarkable exploration voyage that codified regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
75,357,CE,Austria,Austria: Festival Institution (357 CE),"In 357 CE, Austria saw a widely cited festival institution that codified regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
76,623,CE,Ming China,Ming China: Natural Disaster (623 CE),"In 623 CE, Ming China saw a remarkable natural disaster that reshaped regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
77,953,CE,Persia,Persia: Naval Engagement (953 CE),"In 953 CE, Persia saw a contested naval engagement that stabilized regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
78,1631,CE,Myanmar,Myanmar: Uprising (1631 CE),"In 1631 CE, Myanmar saw a pivotal uprising that transformed regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
79,1269,CE,Industrial Britain,Industrial Britain: Architectural Project (1269 CE),"In 1269 CE, Industrial Britain saw a contested architectural project that transformed regional dynamics. Sources describe the role of a scholar and the broader context of trade, belief, and governance."
80,302,CE,Ancient China,Ancient China: Battle (302 CE),"In 302 CE, Ancient China saw a contested battle that accelerated regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
81,150,CE,Levant,Levant: Land Reform (150 CE),"In 150 CE, Levant saw a far-reaching land reform that challenged regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
82,1013,CE,Australia,Australia: Translation Movement (1013 CE),"In 1013 CE, Australia saw a well-documented translation movement that marked regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
83,449,CE,Meiji Japan,Meiji Japan: Postal Relay (449 CE),"In 449 CE, Meiji Japan saw a lesser-known postal relay that accelerated regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
84,1879,CE,Songhai Empire,Songhai Empire: Siege (1879 CE),"In 1879 CE, Songhai Empire saw a well-documented siege that accelerated regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
85,1145,CE,Poland-Lithuania,Poland-Lithuania: Harbor Expansion (1145 CE),"In 1145 CE, Poland-Lithuania saw a formative harbor expansion that reshaped regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
86,874,CE,Ethiopia,Ethiopia: Naval Engagement (874 CE),"In 874 CE, Ethiopia saw a well-documented naval engagement that accelerated regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
87,-1013,BCE,Mexico,Mexico: Calendar Reform (1013 BCE),"In 1013 BCE, Mexico saw a lesser-known calendar reform that accelerated regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
88,-1802,BCE,Medieval Europe,Medieval Europe: Coinage Standardization (1802 BCE),"In 1802 BCE, Medieval Europe saw a widely cited coinage standardization that challenged regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
89,-2213,BCE,Byzantine Empire,Byzantine Empire: Scientific Observation (2213 BCE),"In 2213 BCE, Byzantine Empire saw a well-documented scientific observation that challenged regional dynamics. Sources describe the role of a city council and the broader context of trade, belief, and governance."
90,1447,CE,Aztec Empire,Aztec Empire: Invention (1447 CE),"In 1447 CE, Aztec Empire saw a remarkable invention that codified regional dynamics. Sources describe the role of a religious leader and the broader context of trade, belief, and governance."
91,852,CE,Andean Civilizations,Andean Civilizations: Natural Disaster (852 CE),"In 852 CE, Andean Civilizations saw a remarkable natural disaster that codified regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
92,41,CE,Nepal,Nepal: Festival Institution (41 CE),"In 41 CE, Nepal saw a remarkable festival institution that accelerated regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
93,612,CE,Laos,Laos: Constitution Drafting (612 CE),"In 612 CE, Laos saw a remarkable constitution drafting that stabilized regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
94,1639,CE,Prussia,Prussia: Cultural Renaissance (1639 CE),"In 1639 CE, Prussia saw a formative cultural renaissance that challenged regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
95,60,CE,North Africa,North Africa: University Charter (60 CE),"In 60 CE, North Africa saw a remarkable university charter that consolidated regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
96,1275,CE,Greece,Greece: Founding Of A City (1275 CE),"In 1275 CE, Greece saw a remarkable founding of a city that reshaped regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
97,172,CE,Brazil,Brazil: Tax Reform (172 CE),"In 172 CE, Brazil saw a well-documented tax reform that accelerated regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
98,-1553,BCE,Enlightenment Europe,Enlightenment Europe: Natural Disaster (1553 BCE),"In 1553 BCE, Enlightenment Europe saw a formative natural disaster that documented regional dynamics. Sources describe the role of a religious leader and the broader context of trade, belief, and governance."
99,777,CE,Yuan China,Yuan China: Religious Council (777 CE),"In 777 CE, Yuan China saw a remarkable religious council that transformed regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
100,1535,CE,Egypt,Egypt: Treaty (1535 CE),"In 1535 CE, Egypt saw a long-debated treaty that challenged regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
101,-2670,BCE,Roman Empire,Roman Empire: Religious Council (2670 BCE),"In 2670 BCE, Roman Empire saw a notable religious council that challenged regional dynamics. Sources describe the role of a scholar and the broader context of trade, belief, and governance."
102,1273,CE,Kievan Rus,Kievan Rus: Translation Movement (1273 CE),"In 1273 CE, Kievan Rus saw a well-documented translation movement that accelerated regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
103,-893,BCE,Balkans,Balkans: Postal Relay (893 BCE),"In 893 BCE, Balkans saw a widely cited postal relay that documented regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
104,1532,CE,Philippines,Philippines: Trade Expedition (1532 CE),"In 1532 CE, Philippines saw a well-documented trade expedition that transformed regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
105,1903,CE,Renaissance Italy,Renaissance Italy: Festival Institution (1903 CE),"In 1903 CE, Renaissance Italy saw a remarkable festival institution that codified regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
106,-2426,BCE,Bolivia,Bolivia: Irrigation Works (2426 BCE),"In 2426 BCE, Bolivia saw a contested irrigation works that ushered in regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
107,1742,CE,Venezuela,Venezuela: Artisan Strike (1742 CE),"In 1742 CE, Venezuela saw a pivotal artisan strike that reshaped regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
108,-1755,BCE,Chile,Chile: Astronomical Event Recording (1755 BCE),"In 1755 BCE, Chile saw a pivotal astronomical event recording that stabilized regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
109,-1721,BCE,France,France: Religious Reform (1721 BCE),"In 1721 BCE, France saw a remarkable religious reform that documented regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
110,942,CE,Uruguay,Uruguay: Legal Code (942 CE),"In 942 CE, Uruguay saw a remarkable legal code that consolidated regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
111,1333,CE,Song China,Song China: Road Building (1333 CE),"In 1333 CE, Song China saw a lesser-known road building that accelerated regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
112,1498,CE,Hungary,Hungary: Calendar Reform (1498 CE),"In 1498 CE, Hungary saw a long-debated calendar reform that challenged regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
113,-1847,BCE,Hellenistic Period,Hellenistic Period: Religious Council (1847 BCE),"In 1847 BCE, Hellenistic Period saw a formative religious council that reshaped regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
114,689,CE,Ancient China,Ancient China: Famine Relief (689 CE),"In 689 CE, Ancient China saw a long-debated famine relief that consolidated regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
115,-1059,BCE,Colonial America,Colonial America: Calendar Reform (1059 BCE),"In 1059 BCE, Colonial America saw a far-reaching calendar reform that transformed regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
116,-783,BCE,Byzantine Empire,Byzantine Empire: Translation Movement (783 BCE),"In 783 BCE, Byzantine Empire saw a remarkable translation movement that accelerated regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
117,1415,CE,Caucasus,Caucasus: Lighthouse Lighting (1415 CE),"In 1415 CE, Caucasus saw a formative lighthouse lighting that accelerated regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
118,-908,BCE,Australia,Australia: Postal Relay (908 BCE),"In 908 BCE, Australia saw a contested postal relay that transformed regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
119,970,CE,Ethiopia,Ethiopia: Border Demarcation (970 CE),"In 970 CE, Ethiopia saw a long-debated border demarcation that codified regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
120,721,CE,Paraguay,Paraguay: Siege (721 CE),"In 721 CE, Paraguay saw a widely cited siege that transformed regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
121,-2955,BCE,Khmer Empire,Khmer Empire: Harbor Expansion (2955 BCE),"In 2955 BCE, Khmer Empire saw a pivotal harbor expansion that stabilized regional dynamics. Sources describe the role of a guild master and the broader context of trade, belief, and governance."
122,-887,BCE,Myanmar,Myanmar: Plague Outbreak (887 BCE),"In 887 BCE, Myanmar saw a widely cited plague outbreak that reshaped regional dynamics. Sources describe the role of a reformist minister and the broader context of trade, belief, and governance."
123,206,CE,Khmer Empire,Khmer Empire: Bridge Construction (206 CE),"In 206 CE, Khmer Empire saw a contested bridge construction that documented regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
124,-2901,BCE,Greece,Greece: Scientific Observation (2901 BCE),"In 2901 BCE, Greece saw a widely cited scientific observation that marked regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
125,1429,CE,Mali Empire,Mali Empire: Irrigation Works (1429 CE),"In 1429 CE, Mali Empire saw a formative irrigation works that ushered in regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
126,962,CE,Iberian Peninsula,Iberian Peninsula: Naval Engagement (962 CE),"In 962 CE, Iberian Peninsula saw a long-debated naval engagement that consolidated regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
127,-1957,BCE,Safavid Empire,Safavid Empire: Invention (1957 BCE),"In 1957 BCE, Safavid Empire saw a remarkable invention that accelerated regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
128,1406,CE,Mesoamerica,Mesoamerica: Legal Code (1406 CE),"In 1406 CE, Mesoamerica saw a well-documented legal code that reshaped regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
129,-1017,BCE,Songhai Empire,Songhai Empire: Parliament Session (1017 BCE),"In 1017 BCE, Songhai Empire saw a remarkable parliament session that reshaped regional dynamics. Sources describe the role of an imperial court astronomer and the broader context of trade, belief, and governance."
130,463,CE,Sri Lanka,Sri Lanka: Border Demarcation (463 CE),"In 463 CE, Sri Lanka saw a remarkable border demarcation that accelerated regional dynamics. Sources describe the role of a nomadic confederation and the broader context of trade, belief, and governance."
131,-2411,BCE,Southeast Asia,Southeast Asia: Canal Construction (2411 BCE),"In 2411 BCE, Southeast Asia saw a far-reaching canal construction that reshaped regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
132,1516,CE,Ottoman Empire,Ottoman Empire: Religious Council (1516 CE),"In 1516 CE, Ottoman Empire saw a contested religious council that challenged regional dynamics. Sources describe the role of a merchant consortium and the broader context of trade, belief, and governance."
133,322,CE,Achaemenid Empire,Achaemenid Empire: Succession Crisis (322 CE),"In 322 CE, Achaemenid Empire saw a lesser-known succession crisis that ushered in regional dynamics. Sources describe the role of a military commander and the broader context of trade, belief, and governance."
134,-1846,BCE,Bolivia,Bolivia: Artisan Strike (1846 BCE),"In 1846 BCE, Bolivia saw a formative artisan strike that transformed regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
135,-2896,BCE,Ming China,Ming China: Postal Relay (2896 BCE),"In 2896 BCE, Ming China saw a formative postal relay that ushered in regional dynamics. Sources describe the role of a navigator and the broader context of trade, belief, and governance."
136,-1084,BCE,Canada,Canada: Guild Formation (1084 BCE),"In 1084 BCE, Canada saw a contested guild formation that codified regional dynamics. Sources describe the role of a reigning monarch and the broader context of trade, belief, and governance."
137,1327,CE,Kievan Rus,Kievan Rus: Calendar Reform (1327 CE),"In 1327 CE, Kievan Rus saw a well-documented calendar reform that ushered in regional dynamics. Sources describe the role of a local ruler and the broader context of trade, belief, and governance."
